imdbid,id
,10029
,10131
,10231
,10659
,10661
,10810
,10902
0000001,9651
0000002,9632
0000003,5433
0000004,9631
0000005,9583
0000006,9655
0000007,9656
0000008,9652
0000009,9779
0000011,9679
0000012,6199
0000014,5444
0000015,9646
0000016,9787
0000017,9714
0000022,9767
0000029,9715
0000041,9328
0000091,4982
0000131,5406
0000211,5410
0000230,5914
0000246,4994
0000272,4344
0000300,4271
0000304,4343
0000306,4346
0000313,5438
0000359,4995
0000413,5443
0000417,1252
0000439,1319
0000455,5063
0000499,6135
0000554,5435
0000567,5684
0000574,1349
0001009,4409
0002101,2003
0002281,2005
0003424,5915
0003512,5364
0003973,4457
0004972,1258
0006745,2008
0006864,5944
0007361,7004
0007507,5368
0008443,1994
0008489,2019
0008499,1993
0008519,2015
0008652,1981
0008844,5441
0009652,2007
0009682,1996
0009968,2588
0010281,7108
0010323,1306
0010879,2018
0011588,1991
0011870,5948
0011979,4204
001226766,8703
0012349,3945
0012364,5898
0012532,1263
0012543,5361
0013086,5967
0013140,5958
0013257,3800
0013367,2001
0013427,5901
0013428,1778
0013442,1307
0013496,1631
0013626,5888
0013845,6209
0014341,5949
0014429,1961
0014469,1998
0014611,1967
0014624,8947
0014945,2016
0015116,2020
0015163,2009
0015174,1338
0015175,1337
0015324,2011
0015361,5991
0015400,1264
0015498,1960
0015532,5974
0015624,5962
0015648,1308
0015841,2012
0015863,1978
0015864,1309
0015881,8458
0016039,5514
0016220,1305
0016332,3077
0016884,1260
0016895,1966
0017136,1267
0017410,3217
0017449,1334
0017825,7324
0017925,1310
0018033,1227
0018037,5975
0018051,1964
0018183,2010
0018192,1312
0018199,1982
0018455,1632
0018528,1311
0018578,3118
0018684,1977
0018737,2324
0018742,1970
0018773,1968
0018806,5912
0018839,5984
0018937,1980
0019130,2021
0019237,9314
0019254,1314
0019258,2013
0019290,1979
0019304,1972
0019412,1963
0019421,1971
0019571,2017
0019702,5979
0019729,8464
0019760,3897
0019777,1953
0020286,6046
0020530,1313
0020572,1962
0020629,1316
0020640,8463
0020641,1326
0020642,1327
0020668,6782
0020670,4253
0020697,1315
0021015,7287
0021040,3713
0021079,6043
0021148,3927
0021156,3865
0021165,7291
0021577,3871
0021730,9110
0021735,5741
0021739,6030
0021746,8467
0021749,2705
002180411,8702
0021814,1985
0021815,8213
0021884,1317
0021985,8557
0022000,1828
0022054,1956
0022074,4243
0022100,610
0022158,2384
0022183,628
0022208,636
0022251,1974
0022286,5934
0022395,7294
0022397,9095
0022458,1633
0022599,6031
0022614,1983
0022694,6990
0022718,2767
0022913,3659
0022940,5783
0022958,1328
0023027,2383
0023042,1318
0023158,6052
0023196,1333
0023213,5742
0023238,3658
0023285,7301
0023293,4775
0023385,6092
0023395,7296
0023427,6063
0023458,5929
0023582,6852
0023590,6051
0023634,3530
0023649,5910
0023694,2550
0023753,3188
0023775,7528
0023814,10705
0023876,8477
0023932,5029
0023935,6176
0023940,8346
0023969,5185
0024008,6056
0024028,802
0024034,4335
0024069,5916
0024184,7450
0024188,3844
0024210,10492
0024216,2229
0024264,2231
0024432,6205
0024473,1248
0024481,1330
0024548,10702
0024601,10714
0024625,6193
0024679,5752
0024727,3210
0024831,5319
0024844,1795
0024961,1324
0024991,1270
0025004,1246
0025091,6772
0025301,7999
0025316,621
0025318,10824
0025423,1969
0025424,5523
0025452,7304
0025465,4702
0025543,8653
0025586,1379
0025617,1329
0025746,1325
0025755,5821
0025822,4443
0026029,1242
0026071,1261
0026138,3891
0026599,5750
0026663,7998
0026667,2756
0026752,1361
0026768,1685
0026778,3881
0026939,5913
0026942,2362
0027125,595
0027387,2363
0027407,4143
0027438,1237
0027545,7992
0027552,8473
0027562,2699
0027652,6096
0027698,3401
0027752,3560
0027977,1323
0027996,1992
0028000,6174
0028010,5852
0028021,2853
0028092,4010
0028096,1369
0028174,2554
0028203,4069
0028212,5926
0028216,1359
0028231,7308
0028333,596
0028355,3280
0028356,7227
0028505,1360
0028597,6554
0028683,3598
0028691,10838
0028739,1332
0028772,2382
0029087,1244
0029146,8478
0029162,1336
0029192,4255
0029207,3548
0029217,7877
0029322,3968
00293564,16
0029377,1358
0029442,1240
0029453,5740
0029546,597
0029565,5617
0029583,1976
0029604,631
0029608,795
0029682,1335
0029751,10352
0029811,7317
0029843,3103
0029870,7290
0029929,3283
0029942,2467
0029947,3400
0029971,594
0030044,1238
0030127,6042
0030149,3951
0030241,994
0030287,1367
0030341,620
0030396,4495
0030473,2590
0030755,1378
0031022,5863
0031060,2372
0031066,3723
0031210,1370
0031225,5634
0031235,383
0031252,1384
0031322,1973
0031359,5773
0031381,291
0031385,1245
0031387,2555
0031397,8511
0031398,10848
0031455,2086
0031505,7322
0031507,1383
0031514,8098
0031516,1368
0031593,9038
0031679,5946
0031680,2622
0031709,5763
0031725,1259
0031742,2851
0031762,10880
0031826,1371
0031885,3089
0031971,593
0031981,1385
0032138,174
0032143,588
0032145,1239
0032155,1382
0032194,1373
0032211,5320
0032215,2556
0032273,1356
0032339,1975
0032349,1355
0032376,4415
0032406,4363
0032455,5039
0032484,7311
0032551,1387
0032553,3470
0032599,3033
0032676,8480
0032690,5802
0032701,1380
0032811,1501
0032904,4943
0032910,478
0032943,4257
0032946,4354
0032976,618
0032983,1366
0033021,2678
0033028,3050
0033045,7861
0033105,1357
0033152,1265
0033373,10347
0033436,2906
0033459,2446
0033467,1266
0033533,1682
0033563,1117
0033627,2867
0033717,2410
0033723,2910
0033727,1941
0033729,8983
0033787,9192
0033802,6318
0033804,1386
0033836,1372
0033870,1230
0033874,4475
0033891,3717
0033902,2468
0033928,6171
0034091,9025
0034175,1512
0034240,4359
0034241,8625
0034248,7329
0034328,1331
0034398,2436
0034492,1116
0034521,3518
0034583,1076
0034587,2708
0034591,3789
0034613,7697
0034746,1675
0034770,10343
0034882,1686
0035015,1289
0035017,7475
0035019,681
0035093,6384
0035140,689
0035160,8801
0035279,5938
0035279,5939
0035317,5859
0035360,1388
0035415,3875
0035423,1739
0035446,5303
0035567,4870
0035636,7834
0035735,8501
0035753,3890
0035770,5209
0035881,5554
0035942,1691
0035957,1988
0035979,10778
0036027,1955
0036112,3839
0036160,10283
0036172,7410
0036230,1374
0036244,6310
0036323,1987
0036326,7696
0036341,8090
0036342,4617
0036363,1959
0036367,6315
0036400,4699
0036418,2407
0036506,3753
0036515,1375
0036613,201
0036695,6515
0036723,3134
0036775,1416
0036818,9718
0036868,3982
0036891,1683
0036914,2045
0036940,3279
0036947,4698
0036969,6781
0037008,2715
0037017,5983
0037059,1676
0037076,6420
0037094,1376
0037120,4222
0037280,3154
0037365,6848
0037382,3245
0037415,9270
0037469,2181
0037508,1639
0037514,6017
0037536,10666
0037558,1544
0037614,10345
0037630,7835
0037635,7185
0037638,3999
0037671,2434
0037674,5129
0037800,1213
0037820,2004
0037843,5677
0037865,10235
0037884,3583
0037913,794
0037954,3271
0038017,6945
0038057,5081
0038109,4252
0038166,6319
0038250,9005
0038259,5856
0038348,1268
0038355,971
0038409,5497
0038453,5961
0038461,1377
0038474,1381
0038494,4002
0038499,4900
0038559,2809
0038574,9182
0038589,786
0038650,2235
0038661,2654
0038718,8052
0038733,1231
0038762,3783
0038787,622
0038854,1424
0038890,4428
0038924,1280
0038934,10597
0038969,5646
0038990,3145
0038991,7671
0039017,5872
0039054,1680
0039112,8354
0039192,1211
0039204,8619
0039220,10599
0039236,5779
0039286,4411
0039302,10523
0039324,8646
0039349,2287
0039360,1235
0039404,8053
0039416,9598
0039420,3047
0039431,1679
0039441,3112
0039628,8989
0039631,10635
0039650,7432
0039677,1278
0039689,6550
0039694,2330
0039819,1681
0039938,8729
0039949,8559
0039969,10350
0040068,10163
0040098,1262
0040183,1236
0040202,5115
0040214,2256
0040221,1841
0040242,1354
0040308,1677
0040321,1241
0040379,2300
0040416,1232
0040458,4390
0040491,6363
0040497,9982
0040506,10524
0040522,6517
0040525,8756
0040558,8264
0040580,8054
0040613,2445
0040636,10359
0040724,1320
0040725,1229
0040746,2040
0040806,2098
0040897,3239
0041088,4944
0041090,1716
0041094,7059
0041113,9597
0041154,3539
0041158,1684
0041257,10420
0041373,10174
0041386,4554
0041452,6358
0041498,7018
0041546,4008
0041587,3967
0041594,2232
0041628,2849
0041650,2651
0041716,1690
0041719,3295
0041746,1736
0041859,1986
0041947,9702
0041959,611
0042004,7341
0042031,10135
0042192,139
0042208,2099
0042276,3990
0042296,10059
0042332,1057
0042369,5350
0042436,7836
0042469,4031
0042530,10663
0042546,2596
0042593,4417
0042619,2989
0042792,5232
0042832,10181
0042876,1402
0042958,7144
0042994,6233
0043012,1678
0043014,608
0043025,9700
0043045,8363
0043137,10799
0043265,1491
0043274,1207
0043278,3389
0043313,3222
0043332,3825
0043338,871
0043390,5739
0043456,1916
0043511,8241
0043614,7157
0043686,5972
0043695,9703
0043769,1243
0043871,4521
0043949,5092
0044030,2977
0044079,1417
0044081,2930
0044092,7435
0044100,4510
0044121,3293
0044205,6498
0044391,7323
0044419,1465
0044446,10402
0044502,3403
0044672,9596
0044706,2704
0044741,7162
0044760,10526
0044837,6917
0044855,1689
0045061,2737
0045152,612
0045162,6941
0045197,9975
0045220,9701
0045464,8466
0045537,1692
0045546,7900
0045555,4854
0045591,2427
0045609,10171
0045659,2553
0045665,7610
0045758,5366
0045793,4071
0045810,2547
0045826,6797
0045877,4301
0045888,9290
0045891,4909
0045897,4616
0045911,8011
0045920,8634
0045943,1272
0046022,9004
0046031,10654
0046066,3958
0046076,3124
0046085,1362
0046183,1118
0046187,5736
0046250,1554
0046268,1444
0046269,3125
0046303,3303
0046345,5998
0046359,1883
0046404,9704
0046438,1630
0046451,657
0046478,5973
0046487,5937
0046511,3954
0046534,2375
0046672,1965
0046705,8109
0046731,5124
0046750,4710
0046816,9567
0046828,8441
0046876,4883
0046889,2552
0046911,2344
0046912,3337
0046963,3925
0046969,3158
0047030,3993
0047034,5505
0047094,2426
0047127,9176
0047136,1694
0047152,2746
0047238,9054
0047296,1812
0047349,586
0047396,2132
0047437,2294
0047443,5356
0047469,10286
0047472,1351
0047478,3600
0047522,3674
0047573,2158
0047577,6468
0047580,4048
0047638,7580
0047673,1391
0047677,7693
0047811,10342
0047821,10340
0047834,7346
0047849,10527
0047878,3339
0047898,4073
0047969,1693
0048021,3404
0048103,10781
0048124,6481
0048127,6055
0048133,7878
0048140,2115
0048254,5403
0048280,1170
0048281,1827
0048308,10354
0048356,4442
0048401,6615
0048424,878
0048432,8014
0048445,4754
0048473,5471
0048512,7262
0048517,7797
0048545,2926
0048605,4896
0048641,1735
0048673,5165
0048696,4108
0048728,782
0048750,7360
0048801,3739
0048956,5470
0048960,3981
0048967,10346
0048973,10348
0048977,1216
0048981,9055
0049010,2904
0049019,10623
0049038,4670
0049043,7394
0049095,9993
0049096,2730
0049189,3409
0049196,8398
0049223,2306
0049287,2647
0049293,9719
0049314,6641
0049363,4402
0049366,2698
0049369,1545
0049406,5414
0049408,1092
0049452,10760
0049470,7442
0049471,6308
0049483,10780
0049537,8314
0049640,4245
0049674,10662
0049730,357
0049762,8872
0049782,6064
0049787,1559
0049833,3076
0049902,5555
0049904,8358
0049934,2861
0050083,302
0050105,3429
0050116,7420
0050193,10789
0050212,2981
0050251,6624
0050307,993
0050356,1989
0050371,4552
0050397,2420
0050407,7136
0050419,1747
0050421,9006
0050470,10594
0050490,2429
0050539,1291
0050549,8685
0050585,1800
0050599,7017
0050610,8736
0050613,7165
0050634,1015
0050706,2823
0050766,2160
0050783,1765
0050792,3994
0050798,1121
0050825,1274
0050861,3007
0050933,2578
0050976,2043
0050986,2520
0050998,4559
0051036,2301
0051051,2895
0051077,1660
0051114,965
0051133,10475
0051151,8321
0051201,4933
0051207,2219
0051372,3119
0051383,3321
0051422,7054
0051459,6012
0051525,3238
0051554,2476
0051579,6938
0051608,10562
0051622,2281
0051658,3056
0051744,4373
0051755,4410
0051758,8450
0051773,4211
0051776,4849
0051786,7606
0051808,7135
0051818,10570
0051911,10341
0051951,2373
0051964,1572
0052017,8344
0052077,9161
0052151,1363
0052169,2763
0052182,3926
0052218,10521
0052225,3977
0052278,1364
0052311,3146
0052357,609
0052365,1255
0052374,1247
0052394,2585
0052561,4199
0052572,6833
0052595,10782
0052600,10966
0052602,4523
0052618,1419
0052646,2762
0052654,9379
0052655,4065
0052722,1591
0052844,4050
0052846,2796
0052847,6405
0052861,3608
0052918,2095
0052948,1256
0053125,2228
0053131,1555
0053134,3525
0053172,8392
0053198,236
0053221,6901
0053250,9207
0053285,9209
0053291,2023
0053318,2645
0053363,3166
0053388,6645
0053428,3442
0053454,8677
0053459,656
0053472,799
0053579,2808
0053604,1995
0053619,10351
0053666,9992
0053677,8275
0053719,3634
0053732,8992
0053779,6080
0053804,2144
0053825,10762
0053848,10761
0053902,10855
0053946,1712
0053976,5380
0054017,10170
0054022,2546
0054047,1295
0054049,4117
0054067,3286
0054130,6102
0054167,6796
0054198,9026
0054215,2039
0054248,2988
0054279,8566
0054331,1273
0054333,2950
0054343,5123
0054377,3294
0054387,9338
0054389,8367
0054407,6854
0054452,5122
0054460,9894
0054462,4392
0054469,590
0054476,6146
0054483,10449
0054494,3827
0054599,7831
0054673,2797
0054692,3724
0054698,1191
0054700,10476
0054743,833
0054749,6756
0054777,7344
0054847,1546
0054879,8676
0054885,10493
0054949,7312
0054953,6653
0054997,1958
0055018,8019
0055032,237
0055047,9607
0055082,7798
0055093,9268
0055184,1365
0055198,6448
0055207,1257
0055254,1171
0055256,2392
0055277,4580
0055278,3909
0055294,1292
0055353,5485
0055458,5797
0055471,4198
0055499,7968
0055506,4539
0055571,1165
0055572,6539
0055614,2560
0055621,10670
0055623,10766
0055630,660
0055728,7159
